Edad,Causa de muerte,Total,Hombres,Mujeres
Todas las edades,Todas las causas,72354,41295,31059
Todas las edades,"Neumonía, organismo no especificado",6842,3647,3195
Todas las edades,Infarto agudo del miocardio,4649,2494,2155
Todas las edades,"Diabetes mellitus, no especificada",3515,1400,2115
Todas las edades,"Agresión con disparo de otras armas de fuego, y las no especificadas",3459,3092,367
Todas las edades,Exposición a factores no especificados,3028,2425,603
Todas las edades,Diarrea y gastroenteritis de presunto origen infeccioso,2294,1191,1103
Todas las edades,Fibrosis y cirrosis del hígado,1709,1158,551
Todas las edades,Insuficiencia cardíaca,1618,799,819
Todas las edades,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",1544,750,794
Todas las edades,"Desnutrición proteicocalórica, no especificada",1372,734,638
Todas las edades,Tumor maligno del estómago,1366,637,729
Todas las edades,"Disparo de otras armas de fuego, y las no especificadas",1295,1154,141
Todas las edades,Tumor maligno del hígado y de las vías biliares intrahepáticas,1124,518,606
Todas las edades,Diabetes mellitus no insulinodependiente,1055,428,627
Todas las edades,Otras septicemias,1001,505,496
Todas las edades,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",5321,2755,2566
Todas las edades,Otras causas,31162,17608,13554
Menos de 1 día,Todas las causas,123,76,47
Menos de 1 día,"Otras malformaciones congénitas, no clasificadas en otra parte",18,11,7
Menos de 1 día,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",15,11,4
Menos de 1 día,Dificultad respiratoria del recién nacido,10,6,4
Menos de 1 día,Asfixia del nacimiento,9,7,2
Menos de 1 día,Síndromes de aspiración neonatal,9,2,7
Menos de 1 día,Sepsis bacteriana del recién nacido,5,3,2
Menos de 1 día,Neumonía congénita,4,3,1
Menos de 1 día,Otras afecciones originadas en el período perinatal,4,3,1
Menos de 1 día,Agenesia renal y otras malformaciones hipoplásicas del riñón,4,2,2
Menos de 1 día,Hipoxia intrauterina,3,1,2
Menos de 1 día,Trastornos cardiovasculares originados en el período perinatal,3,1,2
Menos de 1 día,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",2,1,1
Menos de 1 día,"Neumonía, organismo no especificado",2,1,1
Menos de 1 día,"Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas",2,1,1
Menos de 1 día,Malformaciones congénitas del pulmón,2,1,1
Menos de 1 día,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",7,4,3
Menos de 1 día,Otras causas,24,18,6
1- 6 días,Todas las causas,1481,860,621
1- 6 días,Dificultad respiratoria del recién nacido,303,186,117
1- 6 días,Síndromes de aspiración neonatal,146,77,69
1- 6 días,Sepsis bacteriana del recién nacido,136,74,62
1- 6 días,Asfixia del nacimiento,113,60,53
1- 6 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",99,55,44
1- 6 días,"Otras malformaciones congénitas, no clasificadas en otra parte",96,59,37
1- 6 días,Neumonía congénita,89,45,44
1- 6 días,Otras malformaciones congénitas del corazón,49,25,24
1- 6 días,Trastornos cardiovasculares originados en el período perinatal,48,33,15
1- 6 días,Coagulación intravascular diseminada en el feto y el recién nacido,26,21,5
1- 6 días,Anencefalia y malformaciones congénitas similares,24,11,13
1- 6 días,"Enfisema intersticial y afecciones relacionadas, originadas en el período perinatal",17,10,7
1- 6 días,Hemorragia intracraneal no traumática del feto y del recién nacido,17,12,5
1- 6 días,Hipoxia intrauterina,15,9,6
1- 6 días,"Neumonía, organismo no especificado",13,8,5
1- 6 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",45,30,15
1- 6 días,Otras causas,245,145,100
7 - 27 días,Todas las causas,1684,938,746
7 - 27 días,Sepsis bacteriana del recién nacido,262,151,111
7 - 27 días,Neumonía congénita,210,113,97
7 - 27 días,Dificultad respiratoria del recién nacido,142,83,59
7 - 27 días,Síndromes de aspiración neonatal,109,59,50
7 - 27 días,Asfixia del nacimiento,81,45,36
7 - 27 días,Enterocolitis necrotizante del feto y del recién nacido,79,49,30
7 - 27 días,Coagulación intravascular diseminada en el feto y el recién nacido,75,39,36
7 - 27 días,"Otras malformaciones congénitas, no clasificadas en otra parte",69,37,32
7 - 27 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",60,26,34
7 - 27 días,Otras malformaciones congénitas del corazón,41,22,19
7 - 27 días,"Neumonía, organismo no especificado",35,21,14
7 - 27 días,Trastornos cardiovasculares originados en el período perinatal,31,17,14
7 - 27 días,"Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",28,18,10
7 - 27 días,Hemorragia pulmonar originada en el período perinatal,24,13,11
7 - 27 días,Otras hemorragias neonatales,20,11,9
7 - 27 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",57,34,23
7 - 27 días,Otras causas,361,200,161
28 días a menos de 1 año,Todas las causas,4125,2328,1797
28 días a menos de 1 año,"Neumonía, organismo no especificado",1430,797,633
28 días a menos de 1 año,Diarrea y gastroenteritis de presunto origen infeccioso,432,241,191
28 días a menos de 1 año,Otras septicemias,242,128,114
28 días a menos de 1 año,Otras malformaciones congénitas del corazón,126,70,56
28 días a menos de 1 año,"Desnutrición proteicocalórica, no especificada",95,57,38
28 días a menos de 1 año,Sepsis bacteriana del recién nacido,70,42,28
28 días a menos de 1 año,"Otras malformaciones congénitas, no clasificadas en otra parte",67,33,34
28 días a menos de 1 año,Obstrucción no especificada de la respiración,60,38,22
28 días a menos de 1 año,"Desnutrición proteicocalórica severa, no especificada",55,31,24
28 días a menos de 1 año,"Neumonía bacteriana, no clasificada en otra parte",42,23,19
28 días a menos de 1 año,Dificultad respiratoria del recién nacido,38,18,20
28 días a menos de 1 año,Coagulación intravascular diseminada [síndrome de desfibrinación],37,22,15
28 días a menos de 1 año,Síndrome de dificultad respiratoria del adulto,37,24,13
28 días a menos de 1 año,Bronquitis aguda,36,20,16
28 días a menos de 1 año,Otros trastornos respiratorios,36,20,16
28 días a menos de 1 año,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",294,193,101
28 días a menos de 1 año,Otras causas,1028,571,457
1 año,Todas las causas,1504,784,720
1 año,"Neumonía, organismo no especificado",426,223,203
1 año,Diarrea y gastroenteritis de presunto origen infeccioso,390,199,191
1 año,Otras septicemias,58,28,30
1 año,"Desnutrición proteicocalórica, no especificada",47,27,20
1 año,Depleción del volumen,30,18,12
1 año,"Desnutrición proteicocalórica severa, no especificada",28,15,13
1 año,Otras malformaciones congénitas del corazón,17,9,8
1 año,Epilepsia,16,6,10
1 año,Ahogamiento y sumersión no especificados,15,13,2
1 año,Otros trastornos del encéfalo,14,8,6
1 año,"Otros trastornos de los líquidos, de los electrólitos y del equilibrio ácido-básico",12,6,6
1 año,"Parasitosis intestinal, sin otra especificación",11,5,6
1 año,Bronquitis aguda,11,6,5
1 año,Síndrome de Down,11,4,7
1 año,Exposición a factores no especificados,11,6,5
1 año,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",112,63,49
1 año,Otras causas,295,148,147
2 años,Todas las causas,538,265,273
2 años,"Neumonía, organismo no especificado",130,63,67
2 años,Diarrea y gastroenteritis de presunto origen infeccioso,124,52,72
2 años,Exposición a factores no especificados,20,13,7
2 años,"Desnutrición proteicocalórica, no especificada",15,5,10
2 años,Obstrucción no especificada de la respiración,12,8,4
2 años,Otras septicemias,10,7,3
2 años,Depleción del volumen,10,5,5
2 años,Ahogamiento y sumersión no especificados,10,4,6
2 años,"Desnutrición proteicocalórica severa, no especificada",8,4,4
2 años,Asma,7,2,5
2 años,"Otros trastornos de los líquidos, de los electrólitos y del equilibrio ácido-básico",5,1,4
2 años,Hidrocéfalo,5,3,2
2 años,Ileo paralítico y obstrucción intestinal sin hernia,5,3,2
2 años,"Insuficiencia hepática, no clasificada en otra parte",5,4,1
2 años,Secuelas de otros efectos y los no especificados de causas externas,5,2,3
2 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",48,30,18
2 años,Otras causas,119,59,60
3 años,Todas las causas,309,153,156
3 años,"Neumonía, organismo no especificado",68,34,34
3 años,Diarrea y gastroenteritis de presunto origen infeccioso,46,20,26
3 años,Otras septicemias,19,8,11
3 años,Exposición a factores no especificados,14,10,4
3 años,"Desnutrición proteicocalórica severa, no especificada",9,5,4
3 años,"Desnutrición proteicocalórica, no especificada",9,5,4
3 años,Otros trastornos del encéfalo,7,5,2
3 años,"Exposición a humos, fuegos o llamas no especificados",6,3,3
3 años,Ahogamiento y sumersión no especificados,5,4,1
3 años,Epilepsia,4,1,3
3 años,Parálisis cerebral,4,1,3
3 años,Otras malformaciones congénitas del corazón,4,2,2
3 años,Obstrucción no especificada de la respiración,4,3,1
3 años,Tumor maligno del encéfalo,3,0,3
3 años,Depleción del volumen,3,1,2
3 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",26,15,11
3 años,Otras causas,78,36,42
4 años,Todas las causas,201,111,90
4 años,"Neumonía, organismo no especificado",40,21,19
4 años,Diarrea y gastroenteritis de presunto origen infeccioso,27,17,10
4 años,Exposición a factores no especificados,14,9,5
4 años,Otras septicemias,6,3,3
4 años,"Parasitosis intestinal, sin otra especificación",5,2,3
4 años,Depleción del volumen,5,1,4
4 años,Hidrocéfalo,4,3,1
4 años,Secuelas de otros efectos y los no especificados de causas externas,4,4,0
4 años,Ahogamiento y sumersión no especificados,4,2,2
4 años,Tumor maligno del ojo y sus anexos,3,0,3
4 años,Tumor maligno del encéfalo,3,3,0
4 años,"Desnutrición proteicocalórica severa, no especificada",3,2,1
4 años,"Desnutrición proteicocalórica, no especificada",3,3,0
4 años,"Encefalitis, mielitis y encefalomielitis",3,0,3
4 años,Parálisis cerebral,3,3,0
4 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",18,9,9
4 años,Otras causas,56,29,27
5 - 9 años,Todas las causas,705,387,318
5 - 9 años,"Neumonía, organismo no especificado",91,41,50
5 - 9 años,Diarrea y gastroenteritis de presunto origen infeccioso,75,38,37
5 - 9 años,Exposición a factores no especificados,52,34,18
5 - 9 años,Secuelas de otros efectos y los no especificados de causas externas,29,19,10
5 - 9 años,Otras septicemias,20,10,10
5 - 9 años,"Desnutrición proteicocalórica, no especificada",17,10,7
5 - 9 años,Ahogamiento y sumersión no especificados,17,12,5
5 - 9 años,Leucemia de células de tipo no especificado,16,11,5
5 - 9 años,Leucemia linfoide,12,9,3
5 - 9 años,Otros trastornos del encéfalo,12,8,4
5 - 9 años,Tumor maligno del encéfalo,9,3,6
5 - 9 años,Epilepsia,9,6,3
5 - 9 años,Parálisis cerebral,9,4,5
5 - 9 años,Hidrocéfalo,9,4,5
5 - 9 años,Otras malformaciones congénitas del corazón,8,6,2
5 - 9 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",56,31,25
5 - 9 años,Otras causas,264,141,123
10 - 14 años,Todas las causas,907,502,405
10 - 14 años,"Neumonía, organismo no especificado",75,36,39
10 - 14 años,Exposición a factores no especificados,73,56,17
10 - 14 años,Secuelas de otros efectos y los no especificados de causas externas,51,30,21
10 - 14 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",40,31,9
10 - 14 años,Diarrea y gastroenteritis de presunto origen infeccioso,37,23,14
10 - 14 años,"Disparo de otras armas de fuego, y las no especificadas",30,22,8
10 - 14 años,Epilepsia,28,17,11
10 - 14 años,Ahogamiento y sumersión no especificados,27,14,13
10 - 14 años,Otras septicemias,17,11,6
10 - 14 años,Leucemia linfoide,17,8,9
10 - 14 años,Obstrucción no especificada de la respiración,17,7,10
10 - 14 años,Otros estrangulamientos y ahorcamientos accidentales,14,6,8
10 - 14 años,Leucemia de células de tipo no especificado,13,4,9
10 - 14 años,"Desnutrición proteicocalórica, no especificada",12,7,5
10 - 14 años,Insuficiencia renal crónica,12,8,4
10 - 14 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",57,30,27
10 - 14 años,Otras causas,387,192,195
15 - 19 años,Todas las causas,2281,1581,700
15 - 19 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",496,434,62
15 - 19 años,"Disparo de otras armas de fuego, y las no especificadas",211,184,27
15 - 19 años,Exposición a factores no especificados,202,176,26
15 - 19 años,Secuelas de otros efectos y los no especificados de causas externas,90,68,22
15 - 19 años,"Neumonía, organismo no especificado",86,50,36
15 - 19 años,Ahogamiento y sumersión no especificados,55,50,5
15 - 19 años,Otros estrangulamientos y ahorcamientos accidentales,38,22,16
15 - 19 años,Epilepsia,36,24,12
15 - 19 años,Agresión con objeto cortante,36,26,10
15 - 19 años,Agresión por medios no especificados,36,28,8
15 - 19 años,Diarrea y gastroenteritis de presunto origen infeccioso,34,19,15
15 - 19 años,"Envenenamiento accidental por, y exposición a otros productos químicos y sustancias nocivas, y los no especificados",33,11,22
15 - 19 años,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",33,25,8
15 - 19 años,"Envenenamiento autoinfligido intencionalmente por, y exposición a plaguicidas",30,10,20
15 - 19 años,Obstrucción no especificada de la respiración,29,18,11
15 - 19 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",103,57,46
15 - 19 años,Otras causas,733,379,354
20 - 24 años,Todas las causas,2738,2111,627
20 - 24 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",654,611,43
20 - 24 años,Exposición a factores no especificados,312,281,31
20 - 24 años,"Disparo de otras armas de fuego, y las no especificadas",230,212,18
20 - 24 años,Secuelas de otros efectos y los no especificados de causas externas,118,101,17
20 - 24 años,"Neumonía, organismo no especificado",85,50,35
20 - 24 años,Ahogamiento y sumersión no especificados,59,51,8
20 - 24 años,Otros estrangulamientos y ahorcamientos accidentales,52,42,10
20 - 24 años,"Envenenamiento accidental por, y exposición a otros productos químicos y sustancias nocivas, y los no especificados",42,26,16
20 - 24 años,Agresión con objeto cortante,40,36,4
20 - 24 años,"Envenenamiento accidental por, y exposición a plaguicidas",38,28,10
20 - 24 años,Diarrea y gastroenteritis de presunto origen infeccioso,34,18,16
20 - 24 años,Agresión por medios no especificados,33,33,0
20 - 24 años,Epilepsia,32,19,13
20 - 24 años,Infarto agudo del miocardio,30,21,9
20 - 24 años,Otras septicemias,29,16,13
20 - 24 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",119,68,51
20 - 24 años,Otras causas,831,498,333
25 - 29 años,Todas las causas,2864,2167,697
25 - 29 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",601,558,43
25 - 29 años,Exposición a factores no especificados,313,285,28
25 - 29 años,"Disparo de otras armas de fuego, y las no especificadas",217,201,16
25 - 29 años,Secuelas de otros efectos y los no especificados de causas externas,134,110,24
25 - 29 años,"Neumonía, organismo no especificado",89,52,37
25 - 29 años,Agresión con objeto cortante,63,55,8
25 - 29 años,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",54,37,17
25 - 29 años,"Envenenamiento accidental por, y exposición al alcohol",52,51,1
25 - 29 años,Otros estrangulamientos y ahorcamientos accidentales,50,40,10
25 - 29 años,Diarrea y gastroenteritis de presunto origen infeccioso,49,32,17
