Edad,Causa de muerte,Total,Hombres,Mujeres
Todas las edades,Todas las causas,85600,47002,38598
Todas las edades,"Neumonía, organismo no especificado",6335,3240,3095
Todas las edades,Infarto agudo del miocardio,5901,3164,2737
Todas las edades,"Diabetes mellitus, no especificada",4974,1995,2979
Todas las edades,Fibrosis y cirrosis del hígado,2730,1750,980
Todas las edades,Exposición a factores no especificados,2683,2203,480
Todas las edades,"Agresión con disparo de otras armas de fuego, y las no especificadas",2470,2144,326
Todas las edades,Otras gastroenteritis y colitis de origen infeccioso y no especificado,2091,1088,1003
Todas las edades,Enfermedad renal crónica,1821,987,834
Todas las edades,Diabetes mellitus no insulinodependiente,1773,725,1048
Todas las edades,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",1711,1405,306
Todas las edades,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",1552,735,817
Todas las edades,Tumor maligno del hígado y de las vías biliares intrahepáticas,1529,717,812
Todas las edades,Insuficiencia cardíaca,1418,664,754
Todas las edades,Tumor maligno del estómago,1160,524,636
Todas las edades,Insuficiencia renal no especificada,1079,578,501
Todas las edades,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",11350,5760,5590
Todas las edades,Otras causas,35023,19323,15700
Menos de 1 día,Todas las causas,606,330,276
Menos de 1 día,Dificultad respiratoria del recién nacido,110,65,45
Menos de 1 día,"Otras malformaciones congénitas, no clasificadas en otra parte",79,48,31
Menos de 1 día,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",74,47,27
Menos de 1 día,Asfixia del nacimiento,71,30,41
Menos de 1 día,Síndromes de aspiración neonatal,45,23,22
Menos de 1 día,Anencefalia y malformaciones congénitas similares,31,12,19
Menos de 1 día,Otras malformaciones congénitas del corazón,19,9,10
Menos de 1 día,Sepsis bacteriana del recién nacido,14,8,6
Menos de 1 día,Malformaciones congénitas del pulmón,13,8,5
Menos de 1 día,"Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",10,7,3
Menos de 1 día,Otras enfermedades cardiopulmonares,8,3,5
Menos de 1 día,Otras afecciones originadas en el período perinatal,8,4,4
Menos de 1 día,Agenesia renal y otras malformaciones hipoplásicas del riñón,8,5,3
Menos de 1 día,"Enfisema intersticial y afecciones relacionadas, originadas en el período perinatal",7,4,3
Menos de 1 día,Otras afecciones de la piel especificas del feto y del recién nacido,7,4,3
Menos de 1 día,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",20,12,8
Menos de 1 día,Otras causas,82,41,41
1- 6 días,Todas las causas,1802,1044,758
1- 6 días,Dificultad respiratoria del recién nacido,395,245,150
1- 6 días,Sepsis bacteriana del recién nacido,198,109,89
1- 6 días,Neumonía congénita,153,89,64
1- 6 días,Asfixia del nacimiento,130,71,59
1- 6 días,Síndromes de aspiración neonatal,128,79,49
1- 6 días,Trastornos cardiovasculares originados en el período perinatal,89,51,38
1- 6 días,Otras malformaciones congénitas del corazón,74,46,28
1- 6 días,"Otras malformaciones congénitas, no clasificadas en otra parte",68,36,32
1- 6 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",61,36,25
1- 6 días,Coagulación intravascular diseminada en el feto y el recién nacido,35,14,21
1- 6 días,Hemorragia pulmonar originada en el período perinatal,34,22,12
1- 6 días,Hernia diafragmática,25,12,13
1- 6 días,"Otros problemas respiratorios del recién nacido, originados en el período perinatal",24,17,7
1- 6 días,"Enfisema intersticial y afecciones relacionadas, originadas en el período perinatal",21,15,6
1- 6 días,Hemorragia intracraneal no traumática del feto y del recién nacido,20,11,9
1- 6 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",71,34,37
1- 6 días,Otras causas,276,157,119
7 - 27 días,Todas las causas,1360,759,601
7 - 27 días,Sepsis bacteriana del recién nacido,217,127,90
7 - 27 días,Neumonía congénita,193,108,85
7 - 27 días,Dificultad respiratoria del recién nacido,114,56,58
7 - 27 días,Otras malformaciones congénitas del corazón,68,42,26
7 - 27 días,Síndromes de aspiración neonatal,56,34,22
7 - 27 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",54,29,25
7 - 27 días,Coagulación intravascular diseminada en el feto y el recién nacido,50,24,26
7 - 27 días,Enterocolitis necrotizante del feto y del recién nacido,46,26,20
7 - 27 días,Asfixia del nacimiento,45,29,16
7 - 27 días,Trastornos cardiovasculares originados en el período perinatal,39,17,22
7 - 27 días,"Otras malformaciones congénitas, no clasificadas en otra parte",37,15,22
7 - 27 días,Hemorragia pulmonar originada en el período perinatal,30,18,12
7 - 27 días,"Otros problemas respiratorios del recién nacido, originados en el período perinatal",22,14,8
7 - 27 días,Otros trastornos perinatales del sistema digestivo,20,12,8
7 - 27 días,Hemorragia intracraneal no traumática del feto y del recién nacido,19,13,6
7 - 27 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",73,41,32
7 - 27 días,Otras causas,277,154,123
28 días a menos de 1 año,Todas las causas,3542,1933,1609
28 días a menos de 1 año,"Neumonía, organismo no especificado",876,478,398
28 días a menos de 1 año,Otras gastroenteritis y colitis de origen infeccioso y no especificado,349,199,150
28 días a menos de 1 año,Otras malformaciones congénitas del corazón,195,100,95
28 días a menos de 1 año,Otras sepsis,173,107,66
28 días a menos de 1 año,Coagulación intravascular diseminada [síndrome de desfibrinación],59,32,27
28 días a menos de 1 año,"Desnutrición proteicocalórica severa, no especificada",57,30,27
28 días a menos de 1 año,"Neumonía bacteriana, no clasificada en otra parte",52,30,22
28 días a menos de 1 año,Síndrome de dificultad respiratoria del adulto,49,26,23
28 días a menos de 1 año,Malformaciones congénitas del pulmón,47,18,29
28 días a menos de 1 año,Síndrome de Down,41,21,20
28 días a menos de 1 año,"Desnutrición proteicocalórica, no especificada",39,24,15
28 días a menos de 1 año,Obstrucción no especificada de la respiración,39,23,16
28 días a menos de 1 año,Otros trastornos respiratorios,38,20,18
28 días a menos de 1 año,Depleción del volumen,36,26,10
28 días a menos de 1 año,"Otras malformaciones congénitas, no clasificadas en otra parte",35,21,14
28 días a menos de 1 año,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",428,219,209
28 días a menos de 1 año,Otras causas,1029,559,470
1 año,Todas las causas,1212,645,567
1 año,"Neumonía, organismo no especificado",260,135,125
1 año,Otras gastroenteritis y colitis de origen infeccioso y no especificado,259,133,126
1 año,Otras sepsis,36,24,12
1 año,"Desnutrición proteicocalórica severa, no especificada",31,18,13
1 año,"Neumonía bacteriana, no clasificada en otra parte",23,14,9
1 año,Otras malformaciones congénitas del corazón,23,15,8
1 año,"Desnutrición proteicocalórica, no especificada",22,10,12
1 año,Coagulación intravascular diseminada [síndrome de desfibrinación],21,7,14
1 año,"Otros trastornos de los líquidos, de los electrólitos y del equilibrio ácido-básico",21,15,6
1 año,Depleción del volumen,16,5,11
1 año,Obstrucción no especificada de la respiración,16,8,8
1 año,Exposición a factores no especificados,14,7,7
1 año,Otras infecciones intestinales bacterianas,12,4,8
1 año,Parálisis cerebral,12,7,5
1 año,Epilepsia,11,8,3
1 año,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",146,76,70
1 año,Otras causas,289,159,130
2 años,Todas las causas,487,261,226
2 años,"Neumonía, organismo no especificado",93,46,47
2 años,Otras gastroenteritis y colitis de origen infeccioso y no especificado,88,52,36
2 años,"Desnutrición proteicocalórica severa, no especificada",15,8,7
2 años,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",13,6,7
2 años,Parálisis cerebral,12,6,6
2 años,Exposición a factores no especificados,12,9,3
2 años,Otras sepsis,10,5,5
2 años,Otros trastornos respiratorios,10,6,4
2 años,"Exposición a humos, fuegos o llamas no especificados",10,6,4
2 años,"Neumonía bacteriana, no clasificada en otra parte",9,5,4
2 años,"Otros trastornos de los líquidos, de los electrólitos y del equilibrio ácido-básico",8,5,3
2 años,Otras malformaciones congénitas del corazón,7,4,3
2 años,Ahogamiento y sumersión no especificados,6,5,1
2 años,Obstrucción no especificada de la respiración,5,4,1
2 años,Leucemia mieloide,4,2,2
2 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",40,21,19
2 años,Otras causas,145,71,74
3 años,Todas las causas,275,137,138
3 años,Otras gastroenteritis y colitis de origen infeccioso y no especificado,42,26,16
3 años,"Neumonía, organismo no especificado",38,19,19
3 años,Otras sepsis,11,3,8
3 años,Exposición a factores no especificados,11,7,4
3 años,Epilepsia,6,3,3
3 años,Parálisis cerebral,6,3,3
3 años,Íleo paralítico y obstrucción intestinal sin hernia,6,3,3
3 años,Otras malformaciones congénitas del corazón,6,4,2
3 años,Ahogamiento y sumersión no especificados,5,4,1
3 años,"Exposición a humos, fuegos o llamas no especificados",5,4,1
3 años,"Desnutrición proteicocalórica severa, no especificada",4,2,2
3 años,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",4,1,3
3 años,Fiebre del dengue [dengue clásico],3,3,0
3 años,Tumor maligno del ojo y sus anexos,3,1,2
3 años,Otras anemias aplásticas,3,1,2
3 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",31,11,20
3 años,Otras causas,91,42,49
4 años,Todas las causas,211,112,99
4 años,"Neumonía, organismo no especificado",22,12,10
4 años,Otras gastroenteritis y colitis de origen infeccioso y no especificado,20,12,8
4 años,Otras sepsis,9,4,5
4 años,Epilepsia,9,4,5
4 años,Fiebre del dengue [dengue clásico],8,2,6
4 años,Fiebre del dengue hemorrágico,7,3,4
4 años,Exposición a factores no especificados,6,4,2
4 años,Otros trastornos del encéfalo,5,2,3
4 años,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",5,5,0
4 años,"Exposición a humos, fuegos o llamas no especificados",5,2,3
4 años,Leucemia linfoide,4,2,2
4 años,Otros trastornos respiratorios,4,3,1
4 años,Tumor maligno del ojo y sus anexos,3,2,1
4 años,Hidrocéfalo,3,1,2
4 años,Neumonitis debida a sólidos y líquidos,3,3,0
4 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",21,14,7
4 años,Otras causas,77,37,40
5 - 9 años,Todas las causas,658,332,326
5 - 9 años,"Neumonía, organismo no especificado",83,43,40
5 - 9 años,Otras gastroenteritis y colitis de origen infeccioso y no especificado,59,28,31
5 - 9 años,Exposición a factores no especificados,42,30,12
5 - 9 años,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",32,18,14
5 - 9 años,Fiebre del dengue [dengue clásico],21,7,14
5 - 9 años,Leucemia linfoide,18,10,8
5 - 9 años,Fiebre del dengue hemorrágico,16,8,8
5 - 9 años,Otras sepsis,12,5,7
5 - 9 años,Parálisis cerebral,12,5,7
5 - 9 años,Ahogamiento y sumersión no especificados,12,9,3
5 - 9 años,Obstrucción no especificada de la respiración,11,4,7
5 - 9 años,Epilepsia,10,4,6
5 - 9 años,Enfermedad renal crónica,10,7,3
5 - 9 años,Otros trastornos del encéfalo,8,2,6
5 - 9 años,Tumor maligno del encéfalo,7,4,3
5 - 9 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",56,23,33
5 - 9 años,Otras causas,249,125,124
10 - 14 años,Todas las causas,768,426,342
10 - 14 años,"Neumonía, organismo no especificado",46,23,23
10 - 14 años,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",45,27,18
10 - 14 años,Exposición a factores no especificados,40,35,5
10 - 14 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",40,28,12
10 - 14 años,Otras gastroenteritis y colitis de origen infeccioso y no especificado,37,22,15
10 - 14 años,Leucemia linfoide,25,15,10
10 - 14 años,Otros estrangulamientos y ahorcamientos accidentales,25,11,14
10 - 14 años,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",23,14,9
10 - 14 años,Otras sepsis,21,12,9
10 - 14 años,Epilepsia,14,11,3
10 - 14 años,Enfermedad renal crónica,13,6,7
10 - 14 años,Ahogamiento y sumersión no especificados,13,8,5
10 - 14 años,Leucemia de células de tipo no especificado,11,8,3
10 - 14 años,Complicaciones y descripciones mal definidas de enfermedad cardíaca,11,6,5
10 - 14 años,Obstrucción no especificada de la respiración,11,6,5
10 - 14 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",74,39,35
10 - 14 años,Otras causas,319,155,164
15 - 19 años,Todas las causas,2148,1443,705
15 - 19 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",385,331,54
15 - 19 años,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",153,125,28
15 - 19 años,Exposición a factores no especificados,152,133,19
15 - 19 años,"Disparo de otras armas de fuego, y las no especificadas",116,103,13
15 - 19 años,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",71,45,26
15 - 19 años,"Neumonía, organismo no especificado",60,33,27
15 - 19 años,Enfermedad renal crónica,55,28,27
15 - 19 años,Otros estrangulamientos y ahorcamientos accidentales,48,34,14
15 - 19 años,Otras gastroenteritis y colitis de origen infeccioso y no especificado,40,12,28
15 - 19 años,"Agresión por ahorcamiento, estrangulamiento y sofocación",39,25,14
15 - 19 años,Agresión con objeto cortante,38,21,17
15 - 19 años,Ahogamiento y sumersión no especificados,37,32,5
15 - 19 años,Infarto agudo del miocardio,28,15,13
15 - 19 años,Epilepsia,27,18,9
15 - 19 años,Agresión por medios no especificados,27,23,4
15 - 19 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",158,92,66
15 - 19 años,Otras causas,714,373,341
20 - 24 años,Todas las causas,2833,2139,694
20 - 24 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",511,449,62
20 - 24 años,Exposición a factores no especificados,330,292,38
20 - 24 años,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",310,279,31
20 - 24 años,"Disparo de otras armas de fuego, y las no especificadas",107,94,13
20 - 24 años,"Neumonía, organismo no especificado",69,42,27
20 - 24 años,Enfermedad renal crónica,64,45,19
20 - 24 años,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",60,52,8
20 - 24 años,Otros estrangulamientos y ahorcamientos accidentales,57,45,12
20 - 24 años,Infarto agudo del miocardio,50,37,13
20 - 24 años,Agresión con objeto cortante,48,40,8
20 - 24 años,Agresión por medios no especificados,40,35,5
20 - 24 años,Otras gastroenteritis y colitis de origen infeccioso y no especificado,29,17,12
20 - 24 años,Ahogamiento y sumersión no especificados,28,25,3
20 - 24 años,"Envenenamiento accidental por, y exposición al alcohol",28,28,0
20 - 24 años,Insuficiencia renal no especificada,27,13,14
20 - 24 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",191,120,71
20 - 24 años,Otras causas,884,526,358
25 - 29 años,Todas las causas,2691,1982,709
25 - 29 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",389,347,42
25 - 29 años,Exposición a factores no especificados,283,257,26
25 - 29 años,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",233,210,23
25 - 29 años,"Disparo de otras armas de fuego, y las no especificadas",84,72,12
25 - 29 años,Fibrosis y cirrosis del hígado,58,50,8
25 - 29 años,"Neumonía, organismo no especificado",54,23,31
